well;ID;sample;dominant_family;percentage;reads_spikein;reads
I23-1327-A01_S414_R1_001;I23-1327-A01;postive;Hominidae;2,96;15824;177255
I23-1327-A02_S430_R1_001;I23-1327-A02;negative ;0;0;0;104
I23-1327-A03_S446_R1_001;I23-1327-A03;sample;Sphingobacteriaceae;15,8;715;6103
I23-1327-A04_S462_R1_001;I23-1327-A04;sample;Xanthomonadaceae;73,47;147;1515
I23-1327-A05_S478_R1_001;I23-1327-A05;sample;Micrococcaceae;15,86;372;4004
I23-1327-A06_S494_R1_001;I23-1327-A06;sample;Xanthomonadaceae;70,17;1264;11605
I23-1327-A07_S510_R1_001;I23-1327-A07;sample;Sphingobacteriaceae;15,71;2622;21730
I23-1327-A08_S526_R1_001;I23-1327-A08;sample;Xanthomonadaceae;71,2;12057;120695
I23-1327-A09_S542_R1_001;I23-1327-A09;sample;Xanthomonadaceae;70,71;280;3198
I23-1327-A10_S558_R1_001;I23-1327-A10;sample;Rhizobiaceae;12,49;12712;136223
I23-1327-A11_S574_R1_001;I23-1327-A11;sample;Rhizobiaceae;87,7;9632;96010
I23-1327-A12_S590_R1_001;I23-1327-A12;sample;Rhizobiaceae;12,05;83;809
I23-1327-A13_S606_R1_001;I23-1327-A13;sample;Comamonadaceae;36,75;117;1668
I23-1327-A14_S622_R1_001;I23-1327-A14;sample;Microbacteriaceae;13,55;15030;156031
I23-1327-A15_S638_R1_001;I23-1327-A15;sample;Streptomycetaceae;85,88;6634;51532
I23-1327-A16_S654_R1_001;I23-1327-A16;sample;Micrococcaceae;29,88;12615;123197
I23-1327-A17_S670_R1_001;I23-1327-A17;sample;Pseudomonadaceae;68,26;8909;75426
I23-1327-A18_S686_R1_001;I23-1327-A18;sample;Xanthomonadaceae;22,15;289;2245
I23-1327-A19_S702_R1_001;I23-1327-A19;sample;Xanthomonadaceae;64,85;13543;129147
I23-1327-A20_S718_R1_001;I23-1327-A20;sample;Micrococcaceae;24,01;6297;62755
I23-1327-A21_S734_R1_001;I23-1327-A21;sample;Pseudomonadaceae;73,71;5231;51065
I23-1327-A22_S750_R1_001;I23-1327-A22;sample;Xanthomonadaceae;50,04;6926;83657
I23-1327-A23_S766_R1_001;I23-1327-A23;sample;Pseudomonadaceae;67,82;8897;89408
I23-1327-A24_S782_R1_001;I23-1327-A24;sample;Bacillaceae;86,04;7233;72313
I23-1327-B01_S415_R1_001;I23-1327-B01;postive;Hominidae;3,21;12557;138199
I23-1327-B02_S431_R1_001;I23-1327-B02;negative ;Microbacteriaceae;11,11;9;119
I23-1327-B03_S447_R1_001;I23-1327-B03;sample;Bradyrhizobiaceae;84,13;5702;50161
I23-1327-B04_S463_R1_001;I23-1327-B04;sample;Microbacteriaceae;12,5;16;149
I23-1327-B05_S479_R1_001;I23-1327-B05;sample;Weeksellaceae;52,29;153;1065
I23-1327-B06_S495_R1_001;I23-1327-B06;sample;Streptomycetaceae;13,53;1345;12734
I23-1327-B07_S511_R1_001;I23-1327-B07;sample;Weeksellaceae;50;34;241
I23-1327-B08_S527_R1_001;I23-1327-B08;sample;Microbacteriaceae;12,34;4773;37658
I23-1327-B09_S543_R1_001;I23-1327-B09;sample;Pseudomonadaceae;92,64;1223;14891
I23-1327-B10_S559_R1_001;I23-1327-B10;sample;Microbacteriaceae;13,78;8565;91571
I23-1327-B11_S575_R1_001;I23-1327-B11;sample;Weeksellaceae;56,25;176;1300
I23-1327-B12_S591_R1_001;I23-1327-B12;sample;Comamonadaceae;12,1;6730;52589
I23-1327-B13_S607_R1_001;I23-1327-B13;sample;Weeksellaceae;54,55;22;130
I23-1327-B14_S623_R1_001;I23-1327-B14;sample;Pseudomonadaceae;17,93;10697;102076
I23-1327-B15_S639_R1_001;I23-1327-B15;sample;Weeksellaceae;42,05;88;641
I23-1327-B16_S655_R1_001;I23-1327-B16;sample;Pseudomonadaceae;47,05;1422;14774
I23-1327-B17_S671_R1_001;I23-1327-B17;sample;Microbacteriaceae;25;4;81
I23-1327-B18_S687_R1_001;I23-1327-B18;sample;Pseudomonadaceae;71,5;1719;13725
I23-1327-B19_S703_R1_001;I23-1327-B19;sample;Weeksellaceae;50;46;524
I23-1327-B20_S719_R1_001;I23-1327-B20;sample;Pseudomonadaceae;47,01;5980;60713
I23-1327-B21_S735_R1_001;I23-1327-B21;sample;Comamonadaceae;37,48;7377;73518
I23-1327-B22_S751_R1_001;I23-1327-B22;sample;Pseudomonadaceae;84,35;1144;10490
I23-1327-B23_S767_R1_001;I23-1327-B23;sample;Comamonadaceae;44,14;7375;75089
I23-1327-B24_S783_R1_001;I23-1327-B24;sample;Micrococcaceae;27,5;40;333
I23-1327-C01_S416_R1_001;I23-1327-C01;sample;Xanthomonadaceae;81,93;332;3454
I23-1327-C02_S432_R1_001;I23-1327-C02;sample;Xanthomonadaceae;65,36;2543;21666
I23-1327-C03_S448_R1_001;I23-1327-C03;sample;Xanthomonadaceae;80,92;524;4949
I23-1327-C04_S464_R1_001;I23-1327-C04;sample;Xanthomonadaceae;64,03;11912;132923
I23-1327-C05_S480_R1_001;I23-1327-C05;sample;Pseudomonadaceae;75,99;12752;128948
I23-1327-C06_S496_R1_001;I23-1327-C06;sample;Micrococcaceae;87,83;15642;165365
I23-1327-C07_S512_R1_001;I23-1327-C07;sample;Xanthomonadaceae;68,42;1938;17439
I23-1327-C08_S528_R1_001;I23-1327-C08;sample;Micrococcaceae;28,78;12556;128036
I23-1327-C09_S544_R1_001;I23-1327-C09;sample;Pseudomonadaceae;72,79;17910;200621
I23-1327-C10_S560_R1_001;I23-1327-C10;sample;Xanthomonadaceae;43,35;16613;179270
I23-1327-C11_S576_R1_001;I23-1327-C11;sample;Xanthomonadaceae;65,14;3749;30359
I23-1327-C12_S592_R1_001;I23-1327-C12;sample;Xanthomonadaceae;36,06;3347;35594
I23-1327-C13_S608_R1_001;I23-1327-C13;sample;Xanthomonadaceae;60;195;1582
I23-1327-C14_S624_R1_001;I23-1327-C14;sample;Xanthomonadaceae;20,73;11798;97583
I23-1327-C15_S640_R1_001;I23-1327-C15;sample;Pseudomonadaceae;65,46;909;11560
I23-1327-C16_S656_R1_001;I23-1327-C16;sample;Xanthomonadaceae;41,07;1254;8799
I23-1327-C17_S672_R1_001;I23-1327-C17;sample;Flavobacteriaceae;18,35;1112;16086
I23-1327-C18_S688_R1_001;I23-1327-C18;sample;Xanthomonadaceae;53,62;138;1217
I23-1327-C19_S704_R1_001;I23-1327-C19;sample;Xanthomonadaceae;58,37;1033;12658
I23-1327-C20_S720_R1_001;I23-1327-C20;sample;Hominidae;85,91;8254;70376
I23-1327-C21_S736_R1_001;I23-1327-C21;sample;Xanthomonadaceae;73,68;38;336
I23-1327-C22_S752_R1_001;I23-1327-C22;sample;Xanthomonadaceae;71,43;399;4324
I23-1327-C23_S768_R1_001;I23-1327-C23;sample;Bradyrhizobiaceae;17,89;10568;95243
I23-1327-C24_S784_R1_001;I23-1327-C24;sample;Xanthomonadaceae;37,46;598;5786
I23-1327-D01_S417_R1_001;I23-1327-D01;sample;Microbacteriaceae;16,8;8398;77268
I23-1327-D02_S433_R1_001;I23-1327-D02;sample;Xanthomonadaceae;81,82;176;1990
I23-1327-D03_S449_R1_001;I23-1327-D03;sample;Weeksellaceae;18,01;422;4078
I23-1327-D04_S465_R1_001;I23-1327-D04;sample;Pseudomonadaceae;93,19;5742;65928
I23-1327-D05_S481_R1_001;I23-1327-D05;sample;Xanthomonadaceae;67,09;5254;54424
I23-1327-D06_S497_R1_001;I23-1327-D06;sample;Enterobacteriaceae;56,07;651;7552
I23-1327-D07_S513_R1_001;I23-1327-D07;sample;Xanthomonadaceae;24,85;5758;55659
I23-1327-D08_S529_R1_001;I23-1327-D08;sample;Pseudomonadaceae;92,47;4530;47864
I23-1327-D09_S545_R1_001;I23-1327-D09;sample;Xanthomonadaceae;58,35;7105;84617
I23-1327-D10_S561_R1_001;I23-1327-D10;sample;Pseudomonadaceae;78,07;7673;91151
I23-1327-D11_S577_R1_001;I23-1327-D11;sample;Xanthomonadaceae;65,15;12120;149459
I23-1327-D12_S593_R1_001;I23-1327-D12;sample;Pseudomonadaceae;85,43;4858;45989
I23-1327-D13_S609_R1_001;I23-1327-D13;sample;Xanthomonadaceae;79,13;11814;112611
I23-1327-D14_S625_R1_001;I23-1327-D14;sample;Pseudomonadaceae;70,74;8825;97774
I23-1327-D15_S641_R1_001;I23-1327-D15;sample;Comamonadaceae;34,04;47;551
I23-1327-D16_S657_R1_001;I23-1327-D16;sample;Pseudomonadaceae;92,49;6614;71657
I23-1327-D17_S673_R1_001;I23-1327-D17;sample;Xanthomonadaceae;80,44;14614;166821
I23-1327-D18_S689_R1_001;I23-1327-D18;sample;Pseudomonadaceae;70,1;7739;75601
I23-1327-D19_S705_R1_001;I23-1327-D19;sample;Comamonadaceae;12,26;106;1202
I23-1327-D20_S721_R1_001;I23-1327-D20;sample;Pseudomonadaceae;93,68;2359;30260
I23-1327-D21_S737_R1_001;I23-1327-D21;sample;Pseudomonadaceae;59,86;7112;74610
I23-1327-D22_S753_R1_001;I23-1327-D22;sample;Pseudomonadaceae;76,59;1350;14978
I23-1327-D23_S769_R1_001;I23-1327-D23;sample;Sphingobacteriaceae;7,15;3385;33580
I23-1327-D24_S785_R1_001;I23-1327-D24;sample;Pseudomonadaceae;90,86;9155;98951
I23-1327-E01_S418_R1_001;I23-1327-E01;sample;Pseudomonadaceae;75,62;15184;153451
I23-1327-E02_S434_R1_001;I23-1327-E02;sample;Xanthomonadaceae;46,88;433;5040
I23-1327-E03_S450_R1_001;I23-1327-E03;sample;Enterobacteriaceae;81,81;6164;57203
I23-1327-E04_S466_R1_001;I23-1327-E04;sample;Comamonadaceae;69,36;8503;88408
I23-1327-E05_S482_R1_001;I23-1327-E05;sample;Xanthomonadaceae;76,92;13;210
I23-1327-E06_S498_R1_001;I23-1327-E06;sample;Xanthomonadaceae;72,1;5466;50008
I23-1327-E07_S514_R1_001;I23-1327-E07;sample;Pseudomonadaceae;50,58;9296;93686
I23-1327-E08_S530_R1_001;I23-1327-E08;sample;Xanthomonadaceae;67,14;496;4516
I23-1327-E09_S546_R1_001;I23-1327-E09;sample;Xanthomonadaceae;80,4;5220;56760
I23-1327-E10_S562_R1_001;I23-1327-E10;sample;Xanthomonadaceae;32,41;253;2525
I23-1327-E11_S578_R1_001;I23-1327-E11;sample;Xanthomonadaceae;77,25;11154;126630
I23-1327-E12_S594_R1_001;I23-1327-E12;sample;Xanthomonadaceae;45,39;1311;9708
I23-1327-E13_S610_R1_001;I23-1327-E13;sample;Xanthomonadaceae;67,42;12343;143107
I23-1327-E14_S626_R1_001;I23-1327-E14;sample;Xanthomonadaceae;40,73;631;5177
I23-1327-E15_S642_R1_001;I23-1327-E15;sample;Pseudomonadaceae;71,22;11065;104198
I23-1327-E16_S658_R1_001;I23-1327-E16;sample;Xanthomonadaceae;54,07;4609;39952
I23-1327-E17_S674_R1_001;I23-1327-E17;sample;Pseudomonadaceae;62,59;2243;25685
I23-1327-E18_S690_R1_001;I23-1327-E18;sample;Micrococcaceae;36,83;5471;46407
I23-1327-E19_S706_R1_001;I23-1327-E19;sample;Pseudomonadaceae;71,19;361;2831
I23-1327-E20_S722_R1_001;I23-1327-E20;sample;0;0;0;82
I23-1327-E21_S738_R1_001;I23-1327-E21;sample;Pseudomonadaceae;70,88;7027;66307
I23-1327-E22_S754_R1_001;I23-1327-E22;sample;Micrococcaceae;27,97;9368;111783
I23-1327-E23_S770_R1_001;I23-1327-E23;sample;Streptomycetaceae;44,76;2692;18328
I23-1327-E24_S786_R1_001;I23-1327-E24;sample;0;0;2;55
I23-1327-F01_S419_R1_001;I23-1327-F01;sample;Pseudomonadaceae;28,57;7;181
I23-1327-F02_S435_R1_001;I23-1327-F02;sample;Micrococcaceae;27,19;3535;36090
I23-1327-F03_S451_R1_001;I23-1327-F03;sample;Xanthomonadaceae;70,17;352;3170
I23-1327-F04_S467_R1_001;I23-1327-F04;sample;Micrococcaceae;29,2;4918;47888
I23-1327-F05_S483_R1_001;I23-1327-F05;sample;Xanthomonadaceae;66,09;2262;22236
I23-1327-F06_S499_R1_001;I23-1327-F06;sample;Bacillaceae;85,18;5123;54915
I23-1327-F07_S515_R1_001;I23-1327-F07;sample;Comamonadaceae;63,38;10480;120366
I23-1327-F08_S531_R1_001;I23-1327-F08;sample;Rhizobiaceae;29,58;4540;40368
I23-1327-F09_S547_R1_001;I23-1327-F09;sample;Comamonadaceae;51,28;4138;39570
I23-1327-F10_S563_R1_001;I23-1327-F10;sample;Micrococcaceae;24,57;9382;99656
I23-1327-F11_S579_R1_001;I23-1327-F11;sample;Pseudomonadaceae;59,06;850;8269
I23-1327-F12_S595_R1_001;I23-1327-F12;sample;Micrococcaceae;80,21;8232;70234
I23-1327-F13_S611_R1_001;I23-1327-F13;sample;Pseudomonadaceae;54,76;42;435
I23-1327-F14_S627_R1_001;I23-1327-F14;sample;Micrococcaceae;18,59;7411;72166
I23-1327-F15_S643_R1_001;I23-1327-F15;sample;Xanthomonadaceae;52,25;3202;29782
I23-1327-F16_S659_R1_001;I23-1327-F16;sample;Oxalobacteraceae;19,35;6796;58538
I23-1327-F17_S675_R1_001;I23-1327-F17;sample;Xanthomonadaceae;59,58;287;2952
I23-1327-F18_S691_R1_001;I23-1327-F18;sample;Rhizobiaceae;14,91;4535;40300
I23-1327-F19_S707_R1_001;I23-1327-F19;sample;Xanthomonadaceae;69,49;1875;19351
I23-1327-F20_S723_R1_001;I23-1327-F20;sample;Comamonadaceae;33,77;3355;36697
I23-1327-F21_S739_R1_001;I23-1327-F21;sample;Pseudomonadaceae;50;2;44
I23-1327-F22_S755_R1_001;I23-1327-F22;sample;Comamonadaceae;35,54;5878;76749
I23-1327-F23_S771_R1_001;I23-1327-F23;sample;Xanthomonadaceae;78,7;7703;77876
I23-1327-F24_S787_R1_001;I23-1327-F24;sample;Streptomycetaceae;50,16;3148;26289
I23-1327-G01_S420_R1_001;I23-1327-G01;sample;Pseudomonadaceae;73,02;1327;12626
I23-1327-G02_S436_R1_001;I23-1327-G02;sample;Pseudomonadaceae;42,47;438;3617
I23-1327-G03_S452_R1_001;I23-1327-G03;sample;Pseudomonadaceae;72,64;4832;44329
I23-1327-G04_S468_R1_001;I23-1327-G04;sample;Weeksellaceae;54,66;322;1718
I23-1327-G05_S484_R1_001;I23-1327-G05;sample;Pseudomonadaceae;62,19;201;1390
I23-1327-G06_S500_R1_001;I23-1327-G06;sample;Bacillaceae;47,15;386;3690
I23-1327-G07_S516_R1_001;I23-1327-G07;sample;Pseudomonadaceae;74,12;4081;42740
I23-1327-G08_S532_R1_001;I23-1327-G08;sample;Weeksellaceae;68,66;217;1965
I23-1327-G09_S548_R1_001;I23-1327-G09;sample;Sphingobacteriaceae;10,81;37;449
I23-1327-G10_S564_R1_001;I23-1327-G10;sample;Pseudomonadaceae;63,35;1094;9986
I23-1327-G11_S580_R1_001;I23-1327-G11;sample;Xanthomonadaceae;69,71;2073;18801
I23-1327-G12_S596_R1_001;I23-1327-G12;sample;Weeksellaceae;67,12;7896;58132
I23-1327-G13_S612_R1_001;I23-1327-G13;sample;Comamonadaceae;51,85;27;383
I23-1327-G14_S628_R1_001;I23-1327-G14;sample;Comamonadaceae;61,4;1723;12889
I23-1327-G15_S644_R1_001;I23-1327-G15;sample;Pseudomonadaceae;77,05;12959;164395
I23-1327-G16_S660_R1_001;I23-1327-G16;sample;Micrococcaceae;11,11;9;74
I23-1327-G17_S676_R1_001;I23-1327-G17;sample;Comamonadaceae;46,96;115;863
I23-1327-G18_S692_R1_001;I23-1327-G18;sample;Microbacteriaceae;14,29;7;43
I23-1327-G19_S708_R1_001;I23-1327-G19;sample;Xanthomonadaceae;67,39;10778;119924
I23-1327-G20_S724_R1_001;I23-1327-G20;sample;Weeksellaceae;39,22;204;1526
I23-1327-G21_S740_R1_001;I23-1327-G21;sample;Pseudomonadaceae;69,86;2618;27733
I23-1327-G22_S756_R1_001;I23-1327-G22;sample;Hominidae;50;4;47
I23-1327-G23_S772_R1_001;I23-1327-G23;sample;Pseudomonadaceae;70,12;1814;18614
I23-1327-G24_S788_R1_001;I23-1327-G24;sample;Weeksellaceae;53,66;82;568
I23-1327-H01_S421_R1_001;I23-1327-H01;sample;Comamonadaceae;48,79;10685;117393
I23-1327-H02_S437_R1_001;I23-1327-H02;sample;Micrococcaceae;24,1;664;8236
I23-1327-H03_S453_R1_001;I23-1327-H03;sample;Pseudomonadaceae;62,47;1079;10312
I23-1327-H04_S469_R1_001;I23-1327-H04;sample;Micrococcaceae;28,29;3874;44057
I23-1327-H05_S485_R1_001;I23-1327-H05;sample;Comamonadaceae;66,05;8047;84300
I23-1327-H06_S501_R1_001;I23-1327-H06;sample;Micrococcaceae;79,99;7772;69566
I23-1327-H07_S517_R1_001;I23-1327-H07;sample;Pseudomonadaceae;72,41;203;1278
I23-1327-H08_S533_R1_001;I23-1327-H08;sample;Micrococcaceae;86,5;10929;107729
I23-1327-H09_S549_R1_001;I23-1327-H09;sample;Comamonadaceae;73,22;16126;167036
I23-1327-H10_S565_R1_001;I23-1327-H10;sample;Microbacteriaceae;77,42;10248;112910
I23-1327-H11_S581_R1_001;I23-1327-H11;sample;Xanthomonadaceae;55,15;19240;220756
I23-1327-H12_S597_R1_001;I23-1327-H12;sample;Micrococcaceae;27,09;609;5808
I23-1327-H13_S613_R1_001;I23-1327-H13;sample;Xanthomonadaceae;41,95;14059;152964
I23-1327-H14_S629_R1_001;I23-1327-H14;sample;Rhizobiaceae;15,14;4880;37626
I23-1327-H15_S645_R1_001;I23-1327-H15;sample;0;0;6;125
I23-1327-H16_S661_R1_001;I23-1327-H16;sample;Comamonadaceae;37,09;7458;79928
I23-1327-H17_S677_R1_001;I23-1327-H17;sample;Xanthomonadaceae;80,86;6077;61687
I23-1327-H18_S693_R1_001;I23-1327-H18;sample;Micrococcaceae;26,24;1513;12010
I23-1327-H19_S709_R1_001;I23-1327-H19;sample;Comamonadaceae;77,11;5849;63138
I23-1327-H20_S725_R1_001;I23-1327-H20;sample;Pseudomonadaceae;50;2;94
I23-1327-H21_S741_R1_001;I23-1327-H21;sample;Comamonadaceae;57,94;3949;43515
I23-1327-H22_S757_R1_001;I23-1327-H22;sample;Micrococcaceae;77,7;834;6693
I23-1327-H23_S773_R1_001;I23-1327-H23;sample;Pseudomonadaceae;50;2;52
I23-1327-H24_S789_R1_001;I23-1327-H24;sample;Burkholderiaceae;24,17;484;3266
I23-1327-I01_S422_R1_001;I23-1327-I01;sample;Streptomycetaceae;43,23;421;3345
I23-1327-I02_S438_R1_001;I23-1327-I02;sample;Comamonadaceae;22,97;10226;122369
I23-1327-I03_S454_R1_001;I23-1327-I03;sample;Xanthomonadaceae;71,88;32;403
I23-1327-I04_S470_R1_001;I23-1327-I04;sample;Pseudomonadaceae;56,28;6770;67328
I23-1327-I05_S486_R1_001;I23-1327-I05;sample;Pseudomonadaceae;75,2;6746;64542
I23-1327-I06_S502_R1_001;I23-1327-I06;sample;Comamonadaceae;43,51;131;890
I23-1327-I07_S518_R1_001;I23-1327-I07;sample;Pseudomonadaceae;71,59;9457;106758
I23-1327-I08_S534_R1_001;I23-1327-I08;sample;Comamonadaceae;58,94;151;997
I23-1327-I09_S550_R1_001;I23-1327-I09;sample;Pseudomonadaceae;64,4;3772;35674
I23-1327-I10_S566_R1_001;I23-1327-I10;sample;Weeksellaceae;57,14;91;556
I23-1327-I11_S582_R1_001;I23-1327-I11;sample;Pseudomonadaceae;72,88;10555;106083
I23-1327-I12_S598_R1_001;I23-1327-I12;sample;Weeksellaceae;56,51;292;1733
I23-1327-I13_S614_R1_001;I23-1327-I13;sample;Xanthomonadaceae;2,34;4661;39743
I23-1327-I14_S630_R1_001;I23-1327-I14;sample;Weeksellaceae;39,46;332;2688
I23-1327-I15_S646_R1_001;I23-1327-I15;sample;Xanthomonadaceae;58,83;2888;20596
I23-1327-I16_S662_R1_001;I23-1327-I16;sample;Weeksellaceae;34,48;29;265
I23-1327-I17_S678_R1_001;I23-1327-I17;sample;Xanthomonadaceae;42,5;10374;90177
I23-1327-I18_S694_R1_001;I23-1327-I18;sample;0;0;0;32
I23-1327-I19_S710_R1_001;I23-1327-I19;sample;Micrococcaceae;20,77;6452;55632
I23-1327-I20_S726_R1_001;I23-1327-I20;sample;Comamonadaceae;27,16;8081;95426
I23-1327-I21_S742_R1_001;I23-1327-I21;sample;Bacillaceae;30,59;2586;20470
I23-1327-I22_S758_R1_001;I23-1327-I22;sample;Weeksellaceae;40,33;429;4202
I23-1327-I23_S774_R1_001;I23-1327-I23;sample;Caulobacteraceae;11,7;2967;36303
I23-1327-I24_S790_R1_001;I23-1327-I24;sample;Pseudomonadaceae;38,43;216;1353
I23-1327-J01_S423_R1_001;I23-1327-J01;sample;Comamonadaceae;59,57;742;5886
I23-1327-J02_S439_R1_001;I23-1327-J02;sample;Pseudomonadaceae;79,54;4453;37323
I23-1327-J03_S455_R1_001;I23-1327-J03;sample;Pseudomonadaceae;59,38;5322;51340
I23-1327-J04_S471_R1_001;I23-1327-J04;sample;Micrococcaceae;31,57;6943;65618
I23-1327-J05_S487_R1_001;I23-1327-J05;sample;Comamonadaceae;38;471;6097
I23-1327-J06_S503_R1_001;I23-1327-J06;sample;Bacillaceae;14,99;8103;81167
I23-1327-J07_S519_R1_001;I23-1327-J07;sample;Comamonadaceae;42,29;3495;37081
I23-1327-J08_S535_R1_001;I23-1327-J08;sample;Micrococcaceae;14,09;14058;139675
I23-1327-J09_S551_R1_001;I23-1327-J09;sample;Xanthomonadaceae;42,57;15218;167311
I23-1327-J10_S567_R1_001;I23-1327-J10;sample;Bacillaceae;87,92;14753;181345
I23-1327-J11_S583_R1_001;I23-1327-J11;sample;Pseudomonadaceae;54,23;12519;154965
I23-1327-J12_S599_R1_001;I23-1327-J12;sample;Micrococcaceae;25,71;15624;140147
I23-1327-J13_S615_R1_001;I23-1327-J13;sample;Comamonadaceae;76,59;16030;175016
I23-1327-J14_S631_R1_001;I23-1327-J14;sample;Pseudomonadaceae;40,58;7622;85103
I23-1327-J15_S647_R1_001;I23-1327-J15;sample;Comamonadaceae;57,34;3816;48565
I23-1327-J16_S663_R1_001;I23-1327-J16;sample;Comamonadaceae;36,49;5607;63157
I23-1327-J17_S679_R1_001;I23-1327-J17;sample;Pseudomonadaceae;63,03;4863;46688
I23-1327-J18_S695_R1_001;I23-1327-J18;sample;Micrococcaceae;30,73;4130;37708
I23-1327-J19_S711_R1_001;I23-1327-J19;sample;Comamonadaceae;36,38;1501;14864
I23-1327-J20_S727_R1_001;I23-1327-J20;sample;Bacillaceae;86,9;2703;28479
I23-1327-J21_S743_R1_001;I23-1327-J21;sample;Comamonadaceae;61,78;1617;15063
I23-1327-J22_S759_R1_001;I23-1327-J22;sample;Micrococcaceae;12,63;1583;17472
I23-1327-J23_S775_R1_001;I23-1327-J23;sample;Comamonadaceae;70,46;1388;11475
I23-1327-J24_S791_R1_001;I23-1327-J24;sample;Rhizobiaceae;31,16;3520;30423
I23-1327-K01_S424_R1_001;I23-1327-K01;sample;Pseudomonadaceae;76,7;3729;38115
I23-1327-K02_S440_R1_001;I23-1327-K02;sample;Weeksellaceae;100;1;81
I23-1327-K03_S456_R1_001;I23-1327-K03;sample;Sphingomonadaceae;52,56;6925;69895
I23-1327-K04_S472_R1_001;I23-1327-K04;sample;Pseudomonadaceae;70,52;1489;11277
I23-1327-K05_S488_R1_001;I23-1327-K05;sample;Bacillaceae;35,61;132;1348
I23-1327-K06_S504_R1_001;I23-1327-K06;sample;Weeksellaceae;44,44;45;364
I23-1327-K07_S520_R1_001;I23-1327-K07;sample;Comamonadaceae;14,85;404;2889
I23-1327-K08_S536_R1_001;I23-1327-K08;sample;Weeksellaceae;60,71;2354;26676
I23-1327-K09_S552_R1_001;I23-1327-K09;sample;Comamonadaceae;28,95;22330;234475
I23-1327-K10_S568_R1_001;I23-1327-K10;sample;Weeksellaceae;66,19;636;6918
I23-1327-K11_S584_R1_001;I23-1327-K11;sample;Pseudomonadaceae;73,19;12918;127541
I23-1327-K12_S600_R1_001;I23-1327-K12;sample;Weeksellaceae;51,28;78;489
I23-1327-K13_S616_R1_001;I23-1327-K13;sample;Xanthomonadaceae;63,67;278;2420
I23-1327-K14_S632_R1_001;I23-1327-K14;sample;Pseudomonadaceae;12,5;8;112
I23-1327-K15_S648_R1_001;I23-1327-K15;sample;Pseudomonadaceae;49,49;99;662
I23-1327-K16_S664_R1_001;I23-1327-K16;sample;Comamonadaceae;10,96;3567;31071
I23-1327-K17_S680_R1_001;I23-1327-K17;sample;Bacillaceae;24;7104;65884
I23-1327-K18_S696_R1_001;I23-1327-K18;sample;0;0;0;22
I23-1327-K19_S712_R1_001;I23-1327-K19;sample;Streptomycetaceae;36,09;460;3225
I23-1327-K20_S728_R1_001;I23-1327-K20;sample;Weeksellaceae;66,84;196;1397
I23-1327-K21_S744_R1_001;I23-1327-K21;sample;Xanthomonadaceae;67,37;95;718
I23-1327-K22_S760_R1_001;I23-1327-K22;sample;Weeksellaceae;40;5;54
I23-1327-K23_S776_R1_001;I23-1327-K23;sample;Pseudomonadaceae;74,12;5020;46212
I23-1327-K24_S792_R1_001;I23-1327-K24;sample;Weeksellaceae;62,5;8;48
I23-1327-L01_S425_R1_001;I23-1327-L01;sample;Pseudomonadaceae;88,12;11966;122482
I23-1327-L02_S441_R1_001;I23-1327-L02;sample;Micrococcaceae;28,84;11158;122286
I23-1327-L03_S457_R1_001;I23-1327-L03;sample;Xanthomonadaceae;75,09;1100;8800
I23-1327-L04_S473_R1_001;I23-1327-L04;sample;Microbacteriaceae;17,85;622;6091
I23-1327-L05_S489_R1_001;I23-1327-L05;sample;Comamonadaceae;50,65;7284;76267
I23-1327-L06_S505_R1_001;I23-1327-L06;sample;Pseudomonadaceae;4,62;65;580
I23-1327-L07_S521_R1_001;I23-1327-L07;sample;Xanthomonadaceae;65,62;10554;116036
I23-1327-L08_S537_R1_001;I23-1327-L08;sample;Xanthomonadaceae;72,23;857;6493
I23-1327-L09_S553_R1_001;I23-1327-L09;sample;0;0;1;113
I23-1327-L10_S569_R1_001;I23-1327-L10;sample;Xanthomonadaceae;66,33;903;7140
I23-1327-L11_S585_R1_001;I23-1327-L11;sample;Pseudomonadaceae;92,36;14338;163249
I23-1327-L12_S601_R1_001;I23-1327-L12;sample;Xanthomonadaceae;70,4;223;1731
I23-1327-L13_S617_R1_001;I23-1327-L13;sample;Bacillaceae;91,08;14425;154765
I23-1327-L14_S633_R1_001;I23-1327-L14;sample;Microbacteriaceae;15,48;11005;125468
I23-1327-L15_S649_R1_001;I23-1327-L15;sample;Sphingobacteriaceae;52,89;1384;9201
I23-1327-L16_S665_R1_001;I23-1327-L16;sample;Xanthomonadaceae;78,47;418;3903
I23-1327-L17_S681_R1_001;I23-1327-L17;sample;Comamonadaceae;74,9;518;4555
I23-1327-L18_S697_R1_001;I23-1327-L18;sample;Boseaceae;14,68;395;3303
I23-1327-L19_S713_R1_001;I23-1327-L19;sample;Pseudomonadaceae;79,21;933;6859
I23-1327-L20_S729_R1_001;I23-1327-L20;sample;Xanthomonadaceae;86,22;5553;58220
I23-1327-L21_S745_R1_001;I23-1327-L21;sample;Pseudomonadaceae;85,86;1358;9643
I23-1327-L22_S761_R1_001;I23-1327-L22;sample;Microbacteriaceae;22,92;5388;72633
I23-1327-L23_S777_R1_001;I23-1327-L23;sample;Pseudomonadaceae;88,39;3135;25674
I23-1327-L24_S793_R1_001;I23-1327-L24;sample;Xanthomonadaceae;87,58;8371;84682
I23-1327-M01_S426_R1_001;I23-1327-M01;sample;Pseudomonadaceae;70,81;5251;49709
