well;ID;sample;dominant_family;percentage;reads_spikein;reads
I23-1332-M08_S2458_R1_001;I23-1332-M08;sample;Micrococcaceae;57,35;5065;61032
I23-1332-M09_S2474_R1_001;I23-1332-M09;sample;Enterobacteriaceae;93,92;148;2041
I23-1332-M10_S2490_R1_001;I23-1332-M10;sample;Comamonadaceae;34,41;4967;56803
I23-1332-M11_S2506_R1_001;I23-1332-M11;sample;Bacillaceae;84,96;1729;16973
I23-1332-M12_S2522_R1_001;I23-1332-M12;sample;Streptomycetaceae;90,64;1752;21636
I23-1332-M13_S2538_R1_001;I23-1332-M13;sample;Bacillaceae;90,76;5303;76153
I23-1332-M14_S2554_R1_001;I23-1332-M14;sample;Comamonadaceae;17,67;2603;28556
I23-1332-M15_S2570_R1_001;I23-1332-M15;sample;Enterobacteriaceae;60,65;432;6173
I23-1332-M16_S2586_R1_001;I23-1332-M16;sample;Microbacteriaceae;26,73;4762;53174
I23-1332-M17_S2602_R1_001;I23-1332-M17;sample;Bacillaceae;89,89;5482;57342
I23-1332-M18_S2618_R1_001;I23-1332-M18;sample;Streptomycetaceae;48,18;4159;51236
I23-1332-M19_S2634_R1_001;I23-1332-M19;sample;Bacillaceae;90,46;7770;100833
I23-1332-M20_S2650_R1_001;I23-1332-M20;sample;0;0;3;108
I23-1332-M21_S2666_R1_001;I23-1332-M21;sample;Alcaligenaceae;35,04;254;2757
I23-1332-M22_S2682_R1_001;I23-1332-M22;sample;Streptomycetaceae;85,32;3352;48323
I23-1332-M23_S2698_R1_001;I23-1332-M23;sample;Pseudomonadaceae;47,59;3116;38919
I23-1332-M24_S2714_R1_001;I23-1332-M24;sample;Pseudomonadaceae;54,99;2204;20959
I23-1332-N01_S2347_R1_001;I23-1332-N01;sample;Flavobacteriaceae;28,63;8978;123995
I23-1332-N02_S2363_R1_001;I23-1332-N02;sample;Alcaligenaceae;26,62;3940;53593
I23-1332-N03_S2379_R1_001;I23-1332-N03;sample;Erwiniaceae;88,24;5909;78011
I23-1332-N04_S2395_R1_001;I23-1332-N04;sample;Alcaligenaceae;25,73;4520;63295
I23-1332-N05_S2411_R1_001;I23-1332-N05;sample;Comamonadaceae;15,81;5141;67599
I23-1332-N06_S2427_R1_001;I23-1332-N06;sample;Alcaligenaceae;28,64;2874;36346
I23-1332-N07_S2443_R1_001;I23-1332-N07;sample;Brucellaceae;22,38;3650;40668
I23-1332-N08_S2459_R1_001;I23-1332-N08;sample;Alcaligenaceae;26,71;790;8749
I23-1332-N09_S2475_R1_001;I23-1332-N09;sample;Erwiniaceae;55,64;6129;77801
I23-1332-N10_S2491_R1_001;I23-1332-N10;sample;Bacillaceae;4,04;619;6082
I23-1332-N11_S2507_R1_001;I23-1332-N11;sample;Xanthomonadaceae;69,97;2414;29630
I23-1332-N12_S2523_R1_001;I23-1332-N12;sample;Bacillaceae;92,61;2274;24092
I23-1332-N13_S2539_R1_001;I23-1332-N13;sample;Pseudomonadaceae;67,87;6041;83694
I23-1332-N14_S2555_R1_001;I23-1332-N14;sample;Bacillaceae;91,36;4524;55729
I23-1332-N15_S2571_R1_001;I23-1332-N15;sample;Xanthomonadaceae;70,22;6752;89941
I23-1332-N16_S2587_R1_001;I23-1332-N16;sample;Bacillaceae;90,72;6102;83003
I23-1332-N17_S2603_R1_001;I23-1332-N17;sample;Flavobacteriaceae;20,69;1518;16449
